dataset,border,eta
australian,427.80000000000007,0.606369780298538
banknote,586.0,0.936868322238539
breastcancer,243.10000000000005,0.1188478953478253
breastHess,76.60000000000001,0.6218276455782593
bupa,299.59999999999997,0.419059796106569
climate,476.6000000000001,0.9128411858570589
diabetes,660.7,0.671281321349689
fertility,40.5,0.09439528184359902
german,795.0999999999999,0.6695099862875218
golub,52.6,0.5799050080336573
haberman,169.2,0.7105873926660805
heart,206.0,0.6191160532897323
ILPD,362.9,0.648386991827195
parkinsons,83.9,0.48856040179025473
sonar,178.79999999999998,0.44128625400763977
